ir_L,ir_R,degree
0.0,0.0,0.0
2.0,1.4,62.51
1.9,1.4,62.53
2.1,1.3,62.57
2.3,1.5,62.5
2.3,1.5,62.52
2.4,1.1,62.5
2.2,1.4,62.5
2.0,1.3,62.57
1.9,1.2,62.51
1.8,1.2,62.53
1.9,1.3,62.54
2.1,1.3,62.51
2.1,1.4,62.5
2.0,1.4,62.51
2.2,1.4,62.53
2.1,1.3,62.54
2.0,1.4,62.5
2.0,1.3,62.49
2.0,1.3,62.51
2.0,1.4,62.52
2.0,1.4,62.52
1.9,1.3,62.51
1.9,1.2,62.5
1.8,1.4,60.28
1.9,1.3,49.67
2.0,1.3,47.57
2.2,1.3,46.68
2.2,1.3,42.87
2.1,1.3,37.67
2.1,1.3,26.58
2.1,1.4,19.5
2.1,1.4,7.56
2.2,1.3,2.31
2.1,1.3,0.06
2.1,1.3,0.12
2.1,1.3,0.06
2.0,1.4,0.04
1.2,0.9,0.08
1.4,2.3,0.03
1.3,2.3,0.13
1.3,2.2,0.11
1.2,3.3,0.06
1.3,20.0,0.04
1.2,43.1,0.03
1.3,31.6,0.12
1.3,25.8,0.04
1.4,43.9,0.02
1.3,46.5,0.09
1.2,54.0,0.02
1.3,60.0,0.11
1.3,56.5,0.04
1.3,40.1,0.08
1.2,9.0,0.14
1.5,1.8,0.03
3.2,1.3,0.09
51.6,2.4,0.11
100.0,1.8,0.03
100.0,1.4,0.06
87.1,1.7,0.02
100.0,1.6,0.11
58.8,1.4,0.19
44.2,1.6,0.02
34.8,1.6,0.04
35.7,1.7,0.03
10.1,1.7,0.07
1.4,1.5,0.07
1.5,1.2,0.04
1.3,1.6,0.06
1.3,3.7,0.11
1.4,23.5,0.03
1.3,20.0,0.05
1.2,8.8,0.08
0.9,1.2,0.19
1.6,1.4,0.02
1.8,1.4,0.17
1.7,1.3,0.06
1.8,1.2,2.73
1.9,1.1,50.13
2.3,1.3,51.29
2.4,1.4,66.26
2.4,1.4,95.83
2.3,1.4,95.86
2.3,1.3,95.03
2.3,1.3,73.93
2.3,1.3,67.7
2.3,1.4,67.67
2.4,1.5,67.66
2.3,1.3,67.69
2.2,1.3,67.68
2.2,1.3,67.69
2.1,1.4,67.69
2.2,1.4,67.67
2.2,1.3,67.67
2.2,1.3,67.7
2.1,1.4,67.68
2.2,1.3,67.72
2.2,1.3,67.68
2.2,1.5,67.71
2.3,1.5,67.7
2.3,1.4,67.68
2.3,1.3,67.72
2.3,1.3,67.7
2.1,1.4,67.72
2.0,1.4,67.68
1.8,1.2,67.72
1.3,0.7,67.74
1.4,2.9,67.72
1.2,19.8,67.69
1.1,23.3,67.69
1.1,13.3,67.73
1.2,20.3,67.87
1.2,27.6,96.88
1.2,18.1,97.44
1.2,11.9,97.51
1.2,9.1,97.51
1.2,6.8,79.61
1.2,6.3,65.26
1.2,3.0,65.25
1.2,1.8,65.26
1.2,1.7,65.31
1.1,2.0,65.27
1.2,2.1,65.26
1.2,2.0,65.27
1.2,1.7,65.25
1.1,1.6,65.29
0.0,0.0,0.0
2.0,1.4,62.51
1.9,1.4,62.53
2.1,1.3,62.57
2.3,1.5,62.5
2.3,1.5,62.52
2.4,1.1,62.5
2.2,1.4,62.5
2.0,1.3,62.57
1.9,1.2,62.51
1.8,1.2,62.53
1.9,1.3,62.54
2.1,1.3,62.51
2.1,1.4,62.5
2.0,1.4,62.51
2.2,1.4,62.53
2.1,1.3,62.54
2.0,1.4,62.5
2.0,1.3,62.49
2.0,1.3,62.51
2.0,1.4,62.52
2.0,1.4,62.52
1.9,1.3,62.51
1.9,1.2,62.5
1.8,1.4,60.28
1.9,1.3,49.67
2.0,1.3,47.57
2.2,1.3,46.68
2.2,1.3,42.87
2.1,1.3,37.67
2.1,1.3,26.58
2.1,1.4,19.5
2.1,1.4,7.56
2.2,1.3,2.31
2.1,1.3,0.06
2.1,1.3,0.12
2.1,1.3,0.06
2.0,1.4,0.04
1.2,0.9,0.08
1.4,2.3,0.03
1.3,2.3,0.13
1.3,2.2,0.11
1.2,3.3,0.06
1.3,20.0,0.04
1.2,43.1,0.03
1.3,31.6,0.12
1.3,25.8,0.04
1.4,43.9,0.02
1.3,46.5,0.09
1.2,54.0,0.02
1.3,60.0,0.11
1.3,56.5,0.04
1.3,40.1,0.08
1.2,9.0,0.14
1.5,1.8,0.03
3.2,1.3,0.09
51.6,2.4,0.11
100.0,1.8,0.03
100.0,1.4,0.06
87.1,1.7,0.02
100.0,1.6,0.11
58.8,1.4,0.19
44.2,1.6,0.02
34.8,1.6,0.04
35.7,1.7,0.03
10.1,1.7,0.07
1.4,1.5,0.07
1.5,1.2,0.04
1.3,1.6,0.06
1.3,3.7,0.11
1.4,23.5,0.03
1.3,20.0,0.05
1.2,8.8,0.08
0.9,1.2,0.19
1.6,1.4,0.02
1.8,1.4,0.17
1.7,1.3,0.06
1.8,1.2,2.73
1.9,1.1,50.13
2.3,1.3,51.29
2.4,1.4,66.26
2.4,1.4,95.83
2.3,1.4,95.86
2.3,1.3,95.03
2.3,1.3,73.93
2.3,1.3,67.7
2.3,1.4,67.67
2.4,1.5,67.66
2.3,1.3,67.69
2.2,1.3,67.68
2.2,1.3,67.69
2.1,1.4,67.69
2.2,1.4,67.67
2.2,1.3,67.67
2.2,1.3,67.7
2.1,1.4,67.68
2.2,1.3,67.72
2.2,1.3,67.68
2.2,1.5,67.71
2.3,1.5,67.7
2.3,1.4,67.68
2.3,1.3,67.72
2.3,1.3,67.7
2.1,1.4,67.72
2.0,1.4,67.68
1.8,1.2,67.72
1.3,0.7,67.74
1.4,2.9,67.72
1.2,19.8,67.69
1.1,23.3,67.69
1.1,13.3,67.73
1.2,20.3,67.87
1.2,27.6,96.88
1.2,18.1,97.44
1.2,11.9,97.51
1.2,9.1,97.51
1.2,6.8,79.61
1.2,6.3,65.26
1.2,3.0,65.25
1.2,1.8,65.26
1.2,1.7,65.31
1.1,2.0,65.27
1.2,2.1,65.26
1.2,2.0,65.27
1.2,1.7,65.25
1.1,1.6,65.29
1.7,1.3,65.29
1.7,1.3,65.3
1.8,1.3,65.28
1.9,1.4,65.28
1.9,1.2,65.31
1.7,1.3,65.27
1.7,1.2,65.26
1.6,1.3,65.29
1.7,1.2,65.29
2.1,1.3,65.28
2.3,1.2,65.29
1.7,1.3,65.32
1.4,1.4,65.28
